1,이진동,1,1,1
2,이현현,1,1,2
3,정길석,1,1,3
4,최명진,1,1,4
5,김재동,1,1,5
6,정진명,1,1,6
7,이동진,1,1,7
8,정재길,1,1,8
9,정현명,1,1,9
10,이수길,1,1,10
11,정동동,1,2,1
12,최석현,1,2,2
13,정길길,1,2,3
14,정현길,1,2,4
15,최현수,1,2,5
16,최현길,1,2,6
17,박현석,1,2,7
18,김석명,1,2,8
19,김수명,1,2,9
20,정석현,1,2,10
21,정재수,1,3,1
22,정수명,1,3,2
23,이동진,1,3,3
24,박재길,1,3,4
25,이현수,1,3,5
26,정재진,1,3,6
27,이길석,1,3,7
28,박길진,1,3,8
29,김진석,1,3,9
30,김재동,1,3,10
31,박재진,1,4,1
32,이길진,1,4,2
33,박현진,1,4,3
34,박명명,1,4,4
35,정재석,1,4,5
36,이석수,1,4,6
37,김수현,1,4,7
38,정현석,1,4,8
39,최수수,1,4,9
40,최명현,1,4,10
41,정길재,1,5,1
42,이재진,1,5,2
43,최수재,1,5,3
44,최재길,1,5,4
45,박수길,1,5,5
46,박현수,1,5,6
47,김수길,1,5,7
48,이동진,1,5,8
49,이재현,1,5,9
50,최동동,1,5,10
51,정수길,2,1,1
52,최석석,2,1,2
53,박석길,2,1,3
54,정석현,2,1,4
55,이수수,2,1,5
56,이명재,2,1,6
57,최현명,2,1,7
58,이명명,2,1,8
59,정동명,2,1,9
60,박길수,2,1,10
61,최석동,2,2,1
62,박길수,2,2,2
63,정수명,2,2,3
64,김석동,2,2,4
65,박길진,2,2,5
66,박진석,2,2,6
67,김동동,2,2,7
68,김석현,2,2,8
69,최진진,2,2,9
70,박진현,2,2,10
71,최명명,2,3,1
72,김석길,2,3,2
73,이석현,2,3,3
74,최수길,2,3,4
75,최재명,2,3,5
76,이수석,2,3,6
77,정진재,2,3,7
78,정진재,2,3,8
79,김동길,2,3,9
80,김현재,2,3,10
81,김진현,2,4,1
82,이동동,2,4,2
83,정현명,2,4,3
84,김길석,2,4,4
85,정명현,2,4,5
86,박길현,2,4,6
87,정석수,2,4,7
88,이진수,2,4,8
89,최현동,2,4,9
90,이길진,2,4,10
91,이동재,2,5,1
92,이명현,2,5,2
93,정재석,2,5,3
94,박수진,2,5,4
95,최현진,2,5,5
96,최명길,2,5,6
97,김현재,2,5,7
98,박길현,2,5,8
99,박재석,2,5,9
100,박길재,2,5,10
101,이수현,3,1,1
102,박현길,3,1,2
103,김진수,3,1,3
104,김길명,3,1,4
105,김석현,3,1,5
106,박진석,3,1,6
107,이석길,3,1,7
108,이진진,3,1,8
109,김동진,3,1,9
110,박명동,3,1,10
111,이동진,3,2,1
112,김수명,3,2,2
113,이길현,3,2,3
114,박수길,3,2,4
115,박재진,3,2,5
116,김석재,3,2,6
117,최수동,3,2,7
118,김석재,3,2,8
119,정석동,3,2,9
120,이현진,3,2,10
121,김수수,3,3,1
122,박명현,3,3,2
123,박동진,3,3,3
124,이진명,3,3,4
125,김수재,3,3,5
126,박석수,3,3,6
127,박재명,3,3,7
128,김동진,3,3,8
129,이석수,3,3,9
130,정길진,3,3,10
131,김현석,3,4,1
132,김현현,3,4,2
133,이수재,3,4,3
134,박현길,3,4,4
135,김동재,3,4,5
136,이진현,3,4,6
137,정현명,3,4,7
138,이현길,3,4,8
139,김수수,3,4,9
140,정동수,3,4,10
141,김동진,3,5,1
142,김석진,3,5,2
143,김동명,3,5,3
144,이명재,3,5,4
145,최재동,3,5,5
146,최진길,3,5,6
147,김수수,3,5,7
148,이명석,3,5,8
149,정명수,3,5,9
150,김길재,3,5,10
